[2026-05-11T21:26:23.575Z] GET https://b.basemaps.cartocdn.com/light_all/7/61/48.png → 200 (23ms, 19205B)
[2026-05-11T21:26:23.580Z] GET https://a.basemaps.cartocdn.com/light_all/7/62/49.png → 200 (19ms, 13446B)
[2026-05-11T21:26:23.581Z] GET https://a.basemaps.cartocdn.com/light_all/7/61/47.png → 200 (18ms, 22079B)
[2026-05-11T21:26:23.581Z] GET https://b.basemaps.cartocdn.com/light_all/7/63/49.png → 200 (18ms, 13801B)
[2026-05-11T21:26:23.581Z] GET https://c.basemaps.cartocdn.com/light_all/7/61/49.png → 200 (19ms, 14345B)
[2026-05-11T21:26:23.581Z] GET https://a.basemaps.cartocdn.com/light_all/7/62/46.png → 200 (19ms, 7117B)
[2026-05-11T21:26:23.581Z] GET https://b.basemaps.cartocdn.com/light_all/7/64/48.png → 200 (19ms, 5046B)
[2026-05-11T21:26:23.581Z] GET https://b.basemaps.cartocdn.com/light_all/7/63/46.png → 200 (19ms, 16267B)
[2026-05-11T21:26:23.581Z] GET https://a.basemaps.cartocdn.com/light_all/7/64/47.png → 200 (28ms, 22930B)
[2026-05-11T21:26:23.582Z] GET https://c.basemaps.cartocdn.com/light_all/7/61/46.png → 200 (27ms, 8233B)
[2026-05-11T21:26:23.582Z] GET https://c.basemaps.cartocdn.com/light_all/7/64/49.png → 200 (27ms, 1565B)
[2026-05-11T21:26:23.582Z] GET https://c.basemaps.cartocdn.com/light_all/7/64/46.png → 200 (28ms, 21503B)
[2026-05-11T21:26:23.624Z] GET http://localhost:3002/_next/static/chunks/app/page-1ab1e862876b81ec.js → 200 (?ms, 7359B)
[2026-05-11T21:26:23.642Z] GET http://localhost:3002/_next/static/chunks/44530001-843f7204a6f30302.js → 200 (?ms, 60246B)
[2026-05-11T21:26:23.643Z] GET http://localhost:3002/_next/static/chunks/5069-499147e04af018fb.js → 200 (?ms, 172613B)
[2026-05-11T21:26:23.643Z] GET http://localhost:3002/_next/static/chunks/2990-45d32f3a32cc9347.js → 200 (?ms, 15136B)
[2026-05-11T21:26:23.644Z] GET http://localhost:3002/_next/static/chunks/app/login/page-edfcc960de60ec4c.js → 200 (?ms, 8044B)
[2026-05-11T21:26:23.932Z] GET https://b.basemaps.cartocdn.com/light_all/15/16581/12238.png → 200 (1ms, 33898B)
[2026-05-11T21:26:23.932Z] GET https://c.basemaps.cartocdn.com/light_all/15/16581/12239.png → 200 (2ms, 31691B)
[2026-05-11T21:26:23.932Z] GET https://a.basemaps.cartocdn.com/light_all/15/16580/12238.png → 200 (2ms, 22559B)
[2026-05-11T21:26:23.932Z] GET https://c.basemaps.cartocdn.com/light_all/15/16582/12238.png → 200 (2ms, 33291B)
[2026-05-11T21:26:23.933Z] GET https://b.basemaps.cartocdn.com/light_all/15/16580/12239.png → 200 (1ms, 23021B)
[2026-05-11T21:26:23.933Z] GET https://a.basemaps.cartocdn.com/light_all/15/16581/12237.png → 200 (1ms, 29094B)
[2026-05-11T21:26:23.933Z] GET https://a.basemaps.cartocdn.com/light_all/15/16582/12239.png → 200 (2ms, 32654B)
[2026-05-11T21:26:23.933Z] GET https://c.basemaps.cartocdn.com/light_all/15/16580/12237.png → 200 (2ms, 30573B)
[2026-05-11T21:26:23.933Z] GET https://b.basemaps.cartocdn.com/light_all/15/16582/12237.png → 200 (3ms, 27790B)
[2026-05-11T21:26:23.933Z] GET https://a.basemaps.cartocdn.com/light_all/15/16581/12240.png → 200 (3ms, 30872B)
[2026-05-11T21:26:23.933Z] GET https://c.basemaps.cartocdn.com/light_all/15/16579/12238.png → 200 (3ms, 22815B)
[2026-05-11T21:26:23.933Z] GET https://c.basemaps.cartocdn.com/light_all/15/16580/12240.png → 200 (3ms, 29639B)
[2026-05-11T21:26:23.933Z] GET https://a.basemaps.cartocdn.com/light_all/15/16579/12239.png → 200 (3ms, 24268B)
[2026-05-11T21:26:23.933Z] GET https://b.basemaps.cartocdn.com/light_all/15/16582/12240.png → 200 (3ms, 15542B)
[2026-05-11T21:26:23.933Z] GET https://b.basemaps.cartocdn.com/light_all/15/16579/12237.png → 200 (53ms, 30389B)
[2026-05-11T21:26:23.933Z] GET https://b.basemaps.cartocdn.com/light_all/15/16579/12240.png → 200 (53ms, 28214B)
[2026-05-11T21:26:37.390Z] GET http://localhost:3002/barberias/barcelona?_rsc=p6s05 → 200 (15ms, 8177B)
[2026-05-11T21:26:37.543Z] GET http://localhost:3002/_next/static/chunks/app/barberias/%5Bcity%5D/page-0562ef5116ab2647.js → 200 (4ms, 157B)
[2026-05-11T21:26:37.650Z] GET https://c.basemaps.cartocdn.com/light_all/7/62/48.png → 200 (4ms, 19987B)
[2026-05-11T21:26:37.651Z] GET https://b.basemaps.cartocdn.com/light_all/7/62/47.png → 200 (4ms, 19694B)
[2026-05-11T21:26:37.651Z] GET https://a.basemaps.cartocdn.com/light_all/7/63/48.png → 200 (4ms, 20756B)
[2026-05-11T21:26:37.651Z] GET https://c.basemaps.cartocdn.com/light_all/7/63/47.png → 200 (4ms, 23133B)
[2026-05-11T21:26:37.651Z] GET https://b.basemaps.cartocdn.com/light_all/7/61/48.png → 200 (6ms, 19205B)
[2026-05-11T21:26:37.651Z] GET https://a.basemaps.cartocdn.com/light_all/7/62/49.png → 200 (6ms, 13446B)
[2026-05-11T21:26:37.651Z] GET https://a.basemaps.cartocdn.com/light_all/7/61/47.png → 200 (6ms, 22079B)
